"variable","State.Abbr","value.mean","value.sd","value.0%","value.2.5%","value.25%","value.50%","value.75%","value.97.5%","value.100%"
"tautheta","IL", 17.374711528, 1.49129272, 1.502099e+01, 1.509038e+01, 1.666737e+01, 1.757988e+01, 1.855806e+01, 1.901376e+01, 1.906894e+01
"ntheta","IL",  5.018453656, 1.23225751, 2.868662e+00, 3.022215e+00, 4.472050e+00, 5.118034e+00, 6.007150e+00, 6.407741e+00, 6.457366e+00
"taus","IL", 36.248683625,13.99555021, 2.577631e+01, 2.623544e+01, 2.928386e+01, 3.233369e+01, 3.564796e+01, 6.392434e+01, 6.975945e+01
"taur","IL", 60.896816587,13.62218679, 3.662978e+01, 3.897579e+01, 5.391719e+01, 6.294360e+01, 6.899931e+01, 7.875762e+01, 8.055467e+01
"rmax","IL",  0.491000399, 0.18273643, 2.413386e-01, 2.566348e-01, 3.753049e-01, 4.494629e-01, 6.406247e-01, 7.495217e-01, 7.659485e-01
"treopen","IL",113.623395153,13.52013289, 1.032998e+02, 1.033210e+02, 1.062663e+02, 1.101221e+02, 1.144804e+02, 1.399809e+02, 1.451770e+02
"log10ys","IN",  0.043624127, 0.08099976,-9.309482e-03,-6.806561e-03, 6.153102e-03, 1.083058e-02, 3.827328e-02, 2.059809e-01, 2.382854e-01
"thetamin","IN",  0.473592282, 0.26210775,-2.046398e-03, 3.393080e-02, 3.729590e-01, 5.236739e-01, 6.443290e-01, 7.813246e-01, 8.050530e-01
"tautheta","IN", 18.516183801, 2.40820183, 1.507152e+01, 1.520168e+01, 1.689027e+01, 1.873707e+01, 2.045479e+01, 2.126619e+01, 2.135802e+01
"ntheta","IN",  4.035287226, 0.90260426, 2.522415e+00, 2.600762e+00, 3.640633e+00, 4.222738e+00, 4.611164e+00, 5.102169e+00, 5.182287e+00
"taus","IN", 30.367025494, 8.44828707, 2.301236e+01, 2.313223e+01, 2.501807e+01, 2.803493e+01, 3.241192e+01, 4.628338e+01, 4.892310e+01
"taur","IN", 51.489661480,10.13866113, 3.922443e+01, 3.951042e+01, 4.369099e+01, 5.046733e+01, 5.970963e+01, 6.550035e+01, 6.667432e+01
"rmax","IN",  0.706837238, 0.21825538, 3.483878e-01, 3.871540e-01, 5.758152e-01, 6.833336e-01, 9.031699e-01, 9.588432e-01, 9.636724e-01
"treopen","IN",108.883209296, 7.42646733, 1.005244e+02, 1.011372e+02, 1.053193e+02, 1.061942e+02, 1.106879e+02, 1.224550e+02, 1.239946e+02
"log10ys","KS", -0.042444399, 0.16389716,-4.406778e-01,-3.706804e-01,-1.674317e-02, 1.011886e-02, 3.039863e-02, 5.394598e-02, 5.399448e-02
"thetamin","KS",  0.479224609, 0.25836820, 7.174126e-04, 4.053304e-02, 3.848312e-01, 5.308063e-01, 6.374412e-01, 7.871692e-01, 8.131479e-01
"tautheta","KS", 18.718997127, 2.03102567, 1.572428e+01, 1.574931e+01, 1.765482e+01, 1.916485e+01, 2.017533e+01, 2.104076e+01, 2.122199e+01
"ntheta","KS",  4.003535306, 1.40201126, 2.947310e+00, 2.958329e+00, 3.161770e+00, 3.399258e+00, 4.262496e+00, 6.693387e+00, 7.056948e+00
"taus","KS", 29.686345448, 9.58601710, 1.996468e+01, 2.033729e+01, 2.363578e+01, 2.780523e+01, 3.202351e+01, 4.733411e+01, 5.009501e+01
"taur","KS", 46.684812693, 9.91194670, 3.321118e+01, 3.321449e+01, 3.813483e+01, 5.001278e+01, 5.424377e+01, 5.723458e+01, 5.745582e+01
"rmax","KS",  0.649047370, 0.21282945, 2.827676e-01, 3.220991e-01, 5.156222e-01, 6.405732e-01, 8.602757e-01, 8.746023e-01, 8.755740e-01
"treopen","KS",108.405342576, 8.47549517, 9.856851e+01, 9.921548e+01, 1.043090e+02, 1.061773e+02, 1.100739e+02, 1.239572e+02, 1.259623e+02
"log10ys","KY",  0.025405978, 0.03990611,-1.031015e-02,-9.024070e-03, 3.119031e-03, 1.045528e-02, 3.279056e-02, 1.014753e-01, 1.119209e-01
"thetamin","KY",  0.485060861, 0.25759340, 1.601845e-02, 4.919383e-02, 4.025381e-01, 5.539733e-01, 6.291137e-01, 7.883338e-01, 8.209840e-01
"tautheta","KY", 18.266064342, 2.72851720, 1.497993e+01, 1.498071e+01, 1.613887e+01, 1.829320e+01, 2.091880e+01, 2.114641e+01, 2.118452e+01
"ntheta","KY",  3.858819570, 1.23375284, 2.068012e+00, 2.236322e+00, 3.305863e+00, 3.530317e+00, 4.488349e+00, 5.899435e+00, 6.133991e+00
"taus","KY", 33.317962205,11.48970103, 2.401691e+01, 2.437388e+01, 2.663104e+01, 3.060990e+01, 3.421661e+01, 5.541072e+01, 5.986532e+01
"taur","KY", 47.807798466,11.49349369, 2.924035e+01, 3.074464e+01, 3.927596e+01, 4.852015e+01, 5.943806e+01, 5.966439e+01, 5.971188e+01
"rmax","KY",  0.599783019, 0.21333209, 2.789315e-01, 3.022284e-01, 4.854284e-01, 5.697617e-01, 7.396697e-01, 8.993305e-01, 9.120440e-01
"treopen","KY",111.584026546,10.06834289, 1.028097e+02, 1.032283e+02, 1.066825e+02, 1.085578e+02, 1.117177e+02, 1.313487e+02, 1.348497e+02
"log10ys","LA",  0.026660538, 0.06940043,-5.583077e-02,-4.901874e-02,-3.227695e-03, 9.977472e-03, 3.984286e-02, 1.561548e-01, 1.788572e-01
"thetamin","LA",  0.457415011, 0.25220342,-1.327000e-03, 3.580685e-02, 3.727317e-01, 5.199505e-01, 5.598695e-01, 7.833128e-01, 8.154292e-01
"tautheta","LA", 18.268449105, 1.59431163, 1.592588e+01, 1.594649e+01, 1.746694e+01, 1.863201e+01, 1.937207e+01, 2.006324e+01, 2.020112e+01
"ntheta","LA",  5.843446036, 1.88919002, 4.385500e+00, 4.400460e+00, 4.669635e+00, 5.237587e+00, 6.003227e+00, 9.494344e+00, 1.003015e+01
"taus","LA", 30.076158724,10.96467619, 1.943062e+01, 1.990099e+01, 2.236499e+01, 2.746356e+01, 3.331929e+01, 5.000503e+01, 5.284308e+01
"taur","LA", 43.343027889,10.34967780, 2.901150e+01, 2.965996e+01, 3.706975e+01, 4.169298e+01, 5.168710e+01, 5.694812e+01, 5.728440e+01
"rmax","LA",  0.541949381, 0.13646901, 3.161192e-01, 3.435993e-01, 4.904008e-01, 5.225292e-01, 5.865962e-01, 7.406899e-01, 7.460538e-01
"treopen","LA",108.344607830, 9.99090312, 9.745012e+01, 9.821231e+01, 1.021911e+02, 1.057231e+02, 1.107897e+02, 1.265117e+02, 1.287690e+02
"log10ys","MA",  0.089427703, 0.24738968,-2.689917e-02,-2.444011e-02,-9.979296e-03, 7.537624e-03, 2.046445e-02, 5.832082e-01, 6.999605e-01
"thetamin","MA",  0.358454813, 0.22900383,-1.155329e-03, 2.115795e-02, 2.506326e-01, 3.729509e-01, 4.745868e-01, 6.986305e-01, 7.418830e-01
"tautheta","MA", 16.935733465, 1.54730333, 1.436946e+01, 1.443283e+01, 1.647229e+01, 1.742240e+01, 1.792807e+01, 1.840024e+01, 1.843927e+01
"ntheta","MA",  3.940308768, 0.60812958, 3.139946e+00, 3.192158e+00, 3.453029e+00, 3.871131e+00, 4.332335e+00, 4.854403e+00, 4.911848e+00
"taus","MA", 40.015547918,16.15231973, 2.885869e+01, 2.904511e+01, 3.181694e+01, 3.632397e+01, 3.852541e+01, 7.190783e+01, 7.889278e+01
"taur","MA", 60.264975283,16.24879942, 2.874439e+01, 3.159858e+01, 5.444298e+01, 6.589715e+01, 6.864976e+01, 7.756801e+01, 7.843534e+01
