"date","numDate","state","fips","variable","value"
2020-03-27,87,"NH",33,"positiveIncrease",21
2020-03-27,87,"NJ",34,"positiveIncrease",1949
2020-03-27,87,"NM",35,"positiveIncrease",24
2020-03-27,87,"NV",32,"positiveIncrease",115
2020-03-27,87,"NY",36,"positiveIncrease",7377
2020-03-27,87,"OH",39,"positiveIncrease",270
2020-03-27,87,"OK",40,"positiveIncrease",74
2020-03-27,87,"OR",41,"positiveIncrease",87
2020-03-27,87,"PA",42,"positiveIncrease",531
2020-03-27,87,"PR",72,"positiveIncrease",15
2020-03-27,87,"RI",44,"positiveIncrease",31
2020-03-27,87,"SC",45,"positiveIncrease",0
2020-03-27,87,"SD",46,"positiveIncrease",12
2020-03-27,87,"TN",47,"positiveIncrease",246
2020-03-27,87,"TX",48,"positiveIncrease",335
2020-03-27,87,"UT",49,"positiveIncrease",78
2020-03-27,87,"VA",51,"positiveIncrease",144
2020-03-27,87,"VI",78,"positiveIncrease",2
2020-03-27,87,"VT",50,"positiveIncrease",28
2020-03-27,87,"WA",53,"positiveIncrease",376
2020-03-27,87,"WI",55,"positiveIncrease",163
2020-03-27,87,"WV",54,"positiveIncrease",25
2020-03-27,87,"WY",56,"positiveIncrease",17
2020-03-28,88,"AK",2,"positiveIncrease",16
2020-03-28,88,"AL",1,"positiveIncrease",109
2020-03-28,88,"AR",5,"positiveIncrease",23
2020-03-28,88,"AZ",4,"positiveIncrease",137
2020-03-28,88,"CA",6,"positiveIncrease",764
2020-03-28,88,"CO",8,"positiveIncrease",304
2020-03-28,88,"CT",9,"positiveIncrease",0
2020-03-28,88,"DC",11,"positiveIncrease",37
2020-03-28,88,"DE",10,"positiveIncrease",51
2020-03-28,88,"FL",12,"positiveIncrease",998
2020-03-28,88,"GA",13,"positiveIncrease",365
2020-03-28,88,"GU",66,"positiveIncrease",4
2020-03-28,88,"HI",15,"positiveIncrease",14
2020-03-28,88,"IA",19,"positiveIncrease",63
2020-03-28,88,"ID",16,"positiveIncrease",41
2020-03-28,88,"IL",17,"positiveIncrease",465
2020-03-28,88,"IN",18,"positiveIncrease",251
2020-03-28,88,"KS",20,"positiveIncrease",59
2020-03-28,88,"KY",21,"positiveIncrease",54
2020-03-28,88,"LA",22,"positiveIncrease",569
2020-03-28,88,"MA",25,"positiveIncrease",1007
2020-03-28,88,"MD",24,"positiveIncrease",218
